region,AI Architect,AI Engineer,AI Manager / Lead,Consultant AI / Data,Data Analyst,Data Engineer,Data Scientist,DevOps / SRE,Full Stack Developer,GenAI Engineer,Intern / Apprentice,ML Engineer,NLP Engineer,Product Manager / Owner,Project Manager,Research / PhD,Software Engineer
13002 Marseille,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13710 Fuveau,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31000 Toulouse,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31130 Balma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31400 Toulouse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33000 Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33610 Cestas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33700 Mérignac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34000 Montpellier,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000 Rennes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38240 Meylan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44000 Nantes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44200 Nantes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51100 Reims,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59000 Lille,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59800 Lille,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1
67000 Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69000 Lyon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69002 Lyon,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
69006 Lyon 6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69008 Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75001 Paris,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
75002 Paris,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75004 Paris,3,1,2,1,4,8,4,0,2,0,0,1,0,0,0,0,2
75007 Paris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75008 Paris,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75009 Paris,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0
75011 Paris 11e,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75012 Paris,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
75013 Paris,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75015 Paris,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77420 Champs-sur-Marne,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
78280 Guyancourt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78711 Mantes-la-Ville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83400 Hyères,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87000 Limoges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92100 Boulogne-Billancourt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92130 Issy-les-Moulineaux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92360 Meudon,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92800 Puteaux,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
93200 Saint-Denis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
